# DAB/DAB+ Automotive Audio Decoder Test Harness Execution Log
# Input: english_dab_plus.au | Codec: HE-AAC v2 | Sample Rate: 48000 Hz
# Frame	AU_Len	AU_Status	Conceal_Mode	Mute_State	Gain_Q15	Quality	Trigger	Samples
214	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
215	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
216	358	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
217	361	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
218	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
219	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
220	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
221	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
222	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
223	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
224	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
225	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
226	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
227	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
228	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
229	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
230	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
231	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
232	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
233	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
234	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
235	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
236	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
237	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
238	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
239	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
240	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
241	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
242	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
243	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
244	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
245	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
246	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
247	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
248	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
249	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
250	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
251	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
252	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
253	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
254	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
255	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
256	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
257	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
258	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
259	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
260	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
261	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
262	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
263	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
264	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
265	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
266	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
